ANIOCAMPANAPROCESO;ANIOCAMPANA;CODVENDEDORA;CODTERRITORIO;CODCOMPORTAMIENTOROLLING;EDAD;FLAGCORREOVALIDADO;FLAGCELULAR;FLAGDIGITAL;DESESTADOCIVIL_CAT;NRO_PEDIDOS;NRO_PEDIDOS_U6C;NRO_PEDIDOS_U18C;CANALINGRESO_CAT;REALVTAMNFACTURA;CODZONA_X;CODREGION;EDADBINS;PROMEDIOFACTURAS;MAXFACTURA;MINFACTURA;RATIOFACTURAS;REGLA_REVISTA;REGLA_CATALOGO;REGLA_WEB;REGLA_OTROS;Marca1;Marca2;Marca3;ANIOCAMPANAINGRESO;GANANCIA_TOTAL;DIA_VENC;FLAGQUINCENA;FLAGINIFIN;ANTIGUEDAD;CATEGORIA1;CATEGORIA2;CATEGORIA3;CATEGORIA4;CAMPANAINGRESO;DESNIVELSOCIA;DESRENDIMIENTOSOCIA;TOTAL_FACTURAS;FACTURAS_DEUDA_21_CA;FACTURAS_DEUDA_22_CA;FACTURAS_DEUDA_23_CA;FACTURAS_DEUDA_24_CA;FACTURAS_DEUDA_25_CA;FACTURAS_DEUDA_26_CA;FACTURAS_DEUDA_31_CA;FACTURAS_DEUDA_42;FACTURAS_DEUDA_63;FACTURAS_DEUDA_189;RATIO21_CA;RATIO22_CA;RATIO23_CA;RATIO24_CA;RATIO25_CA;RATIO26_CA;RATIO31_CA;RATIO42;RATIO63;RATIO189;RATIO999;PCTJE_DEUDA_31_CA;PCTJE_DEUDA_42;PCTJE_DEUDA_63;PCTJE_DEUDA_189;ULT_CAMPANA_MOROSA;COBRABILIDAD21_ZONA;COBRABILIDAD26_ZONA;COBRABILIDAD31_ZONA;COBRABILIDAD189_ZONA;REMESA;REMESA_H;DESVIACION_MAXFACTURA;DESVIACION_MINFACTURA;DESVIACION_REMESA;FLAGNUEVA;FLAG18;FLAG19;FLAG20;DESV_PEDMIN;DESV_PEDMIN_ADJ;CLASE;TARGET_COBRANZA31_CA;PROM_DIAS_PAGO
202507;202507;53454100;2428;1;33;0;1;0;5;2;2;2;8;424.51;8027;80;5;393.725;393.725;393.725;1.078;0.279;0.298;0.0;0.439;0.0;0.61118;0.38842;202506;185.53;22;0;0;1;0.54791;0.08338;0.0;0.17271;6;2;0;1;0;1;0;0;0;0;0;0;0;0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.82605;0.89053;0.91947;0.98044;1;-1.0;0.07819;0.07819;2.0;1;0;0;0;195.14;181.0204;0;0;21.0
202507;202507;53438091;10285;1;23;0;1;0;5;2;2;2;2;189.46;4211;4;4;240.9;240.9;240.9;0.786;0.0;0.383;0.387;0.0;0.0;0.26529;0.73464;202506;17.14;14;1;0;1;0.07483;0.0;0.12924;0.26529;6;4;0;1;1;1;1;1;1;1;1;0;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.83554;0.89277;0.92214;0.97705;1;-1.0;0.21353;0.21353;2.0;1;0;0;0;-7.99;-10.1654;1;1;21.0
202507;202507;50258629;2428;1;32;0;1;0;5;1;1;1;3;190.42;8027;80;5;190.42;190.42;190.42;1.0;0.221;0.322;0.0;0.185;0.20285;0.08114;0.3719;202507;33.98;22;0;0;0;0.0;0.0;0.0;0.46693;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-1.0;0.0;0.0;0.0;1;0;0;0;-7.11;-7.11;0;0;189.0
202507;202507;53524966;2428;1;21;0;1;0;5;1;1;1;2;352.15;8027;80;3;352.15;352.15;352.15;1.0;0.0;0.357;0.383;0.001;0.0;0.6847;0.14178;202507;81.55;22;0;0;0;0.33554;0.0;0.0;0.24327;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1;-1.0;0.0;0.0;0.0;1;0;0;0;134.18;134.18;0;0;189.0
202507;202507;52367042;2428;6;20;0;1;0;5;15;5;15;2;429.7;8027;80;2;370.506;358.133;351.671;1.16;0.0;0.349;0.338;0.481;0.09309;0.1495;0.75879;202409;48.88;22;0;0;16;0.55328;0.0;0.11126;0.09923;9;2;0;15;4;4;4;4;4;3;0;0;0;0;0.25;0.25;0.25;0.25;0.25;0.188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.82605;0.89053;0.91947;0.98044;0;0.0;0.19983;0.22188;0.0;0;0;0;1;199.51;171.9914;0;0;23.5
202507;202507;38100866;1648;6;46;0;1;0;5;47;6;18;2;631.18;6038;60;7;383.363;383.363;383.363;1.646;0.0;0.335;0.374;0.378;0.13864;0.57768;0.28306;202408;118.11;19;0;0;17;0.17138;0.04621;0.0;0.18678;8;4;0;34;5;9;5;4;4;4;2;2;0;0;0.143;0.257;0.143;0.114;0.114;0.114;0.057;0.059;0.0;0.0;0.0;0.5;0.5;0.0;0.0;7.0;0.79317;0.86202;0.89894;0.95721;4;5.0;0.64643;0.64643;-1.0;0;0;0;0;364.32;221.3366;0;0;25.0
202507;202507;49602200;1648;1;22;0;1;0;5;2;2;2;2;175.34;6038;60;4;221.79;221.79;221.79;0.791;0.0;0.365;0.307;0.0;0.0;0.99742;0.0;202506;13.16;19;0;0;1;0.13634;0.0;0.0;0.3229;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.79317;0.86202;0.89894;0.95721;1;-1.0;0.20943;0.20943;2.0;1;0;0;0;-15.64;-19.7724;0;0;21.0
202507;202507;53465803;1648;1;22;0;1;0;5;2;2;2;2;220.83;6038;60;4;249.945;249.945;249.945;0.884;0.0;0.36;0.0;0.0;0.61833;0.32041;0.06183;202506;56.67;19;0;0;1;0.43283;0.0;0.1855;0.0;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.79317;0.86202;0.89894;0.95721;3;-1.0;0.11649;0.11649;4.0;1;0;0;0;22.9;25.905;0;0;21.0
202507;202507;47008190;10285;6;58;0;1;0;5;77;6;18;2;328.27;4211;4;7;325.67;325.67;325.67;1.008;0.0;0.336;0.0;0.371;0.0;0.32876;0.67264;202103;75.5;14;1;0;76;0.56305;0.04157;0.0;0.0;3;4;0;77;16;18;16;12;8;5;3;0;0;0;0.205;0.231;0.205;0.154;0.103;0.064;0.038;0.0;0.0;0.0;0.0;0.1084;0.0;0.0;0.0;14.0;0.83554;0.89277;0.92214;0.97705;3;4.0;0.00798;0.00798;-1.0;0;0;0;0;109.63;108.7599;0;0;24.23077
202507;202507;52580900;2428;7;19;0;1;0;5;10;5;10;2;269.44;8027;80;1;269.04;269.04;269.04;1.001;0.383;0.422;0.336;0.0;0.09128;0.09584;0.81694;202412;144.56;22;0;0;13;0.56995;0.0;0.09267;0.08804;12;2;0;9;3;4;3;3;2;2;0;0;0;0;0.3;0.4;0.3;0.3;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.82605;0.89053;0.91947;0.98044;1;-1.0;0.00149;0.00149;2.0;0;0;1;0;64.11;64.046;0;0;24.33333
202507;202507;46547756;1648;7;36;0;1;0;5;8;4;8;2;328.49;6038;60;6;284.066;284.066;284.066;1.156;0.0;0.354;0.235;0.34;0.0;0.61678;0.3827;202416;76.61;19;0;0;9;0.20807;0.11518;0.0;0.05945;16;4;0;7;1;1;1;0;0;0;0;0;0;0;0.125;0.125;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.79317;0.86202;0.89894;0.95721;1;-1.0;0.15639;0.15639;2.0;0;0;0;0;114.14;98.737;0;0;22.42857
